id;name;phone;address;birth;gender;role
1;calculate Investment Account;80983;quantify;2021-06-28;FEMALE;ADMIN
2;leading-edge;16158;interfaces Handmade;2021-06-28;MALE;OPERATIONS_DIRECTOR
3;payment Switchable Garden;49609;Isle indigo;2021-06-28;FEMALE;ADMIN
4;Granite;80529;Connecticut Berkshire Wooden;2021-06-28;FEMALE;MARKETING
5;Factors;76252;Concrete Soap;2021-06-27;FEMALE;RECEPTIONIST
6;24 hour;8893;payment Infrastructure;2021-06-28;AMBIGUOUS;NURSE
7;Table;90189;Shoes purple white;2021-06-27;FEMALE;NURSE
8;Profound reinvent;352;Rustic Personal Loan Account;2021-06-27;FEMALE;ADMIN
9;open architecture Malaysia;22443;Group De-engineered;2021-06-27;FEMALE;OPERATIONS_DIRECTOR
10;Idaho;93701;Unbranded Metal;2021-06-27;AMBIGUOUS;MARKETING
